Time,UH,VH
2024-05-31 00:07:59,9.25,6.25
2024-05-31 00:23:00,9.5,6.5
2024-05-31 00:38:02,9.75,4.25
2024-05-31 00:53:04,10.0,4.5
2024-05-31 01:08:05,8.75,2.75
2024-05-31 01:23:07,8.75,3.0
2024-05-31 01:38:08,9.0,3.25
2024-05-31 01:53:10,7.5,3.5
2024-05-31 02:08:11,7.75,3.75
2024-05-31 02:23:13,8.0,4.0
2024-05-31 02:38:14,8.25,4.25
2024-05-31 02:53:15,8.5,4.5
2024-05-31 03:08:17,8.75,4.0
2024-05-31 03:23:18,9.0,4.25
2024-05-31 03:38:20,9.25,4.5
2024-05-31 03:53:21,9.5,4.75
2024-05-31 04:08:22,9.25,5.0
2024-05-31 04:23:24,9.25,5.25
2024-05-31 04:38:25,9.5,5.5
2024-05-31 04:53:27,9.25,5.75
2024-05-31 05:08:29,9.5,6.0
2024-05-31 05:23:30,9.75,6.25
2024-05-31 05:38:32,9.75,6.5
2024-05-31 05:53:33,10.0,6.75
2024-05-31 06:08:35,8.5,7.0
2024-05-31 06:23:36,8.75,7.25
2024-05-31 06:38:37,9.0,7.5
2024-05-31 06:53:39,9.25,7.75
2024-05-31 07:08:40,9.5,8.0
2024-05-31 07:23:42,9.75,5.25
2024-05-31 07:38:43,10.0,5.5
2024-05-31 07:53:46,10.25,5.25
2024-05-31 08:08:47,2.0,5.0
2024-05-31 08:23:49,2.0,5.25
2024-05-31 08:38:50,2.25,5.5
2024-05-31 08:53:52,2.5,5.75
2024-05-31 09:08:55,2.75,1.25
2024-05-31 09:23:57,3.0,0.75
2024-05-31 09:39:00,3.25,1.0
2024-05-31 09:54:01,3.5,1.25
2024-05-31 10:09:03,3.75,1.5
2024-05-31 10:24:05,4.0,1.75
2024-05-31 10:39:06,4.25,2.0
2024-05-31 10:54:08,4.5,2.25
2024-05-31 11:09:09,4.75,2.5
2024-05-31 11:24:11,2.75,2.75
2024-05-31 11:39:13,3.0,2.75
2024-05-31 11:54:15,3.25,3.0
2024-05-31 12:09:16,3.5,1.0
2024-05-31 12:24:17,3.75,1.25
2024-05-31 12:39:20,4.0,1.25
2024-05-31 12:54:21,4.25,1.5
2024-05-31 13:09:22,4.5,1.25
2024-05-31 13:24:24,4.75,1.5
2024-05-31 13:39:26,5.0,1.75
2024-05-31 13:54:27,5.25,2.0
2024-05-31 14:09:29,5.5,2.25
2024-05-31 14:24:30,5.75,2.5
2024-05-31 14:39:31,5.75,2.75
2024-05-31 14:54:32,6.0,3.0
2024-05-31 15:09:34,6.25,3.25
2024-05-31 15:24:36,6.5,3.5
2024-05-31 15:39:37,6.75,3.75
2024-05-31 15:54:39,7.0,4.0
2024-05-31 16:09:40,7.25,4.25
2024-05-31 16:24:42,7.5,4.5
2024-05-31 16:39:44,5.0,4.75
2024-05-31 16:54:45,5.25,3.0
2024-05-31 17:09:47,5.5,3.0
2024-05-31 17:24:48,5.75,3.25
2024-05-31 17:39:49,6.0,3.5
2024-05-31 17:54:51,6.25,3.75
2024-05-31 18:09:52,6.5,4.0
2024-05-31 18:24:54,6.75,4.25
2024-05-31 18:39:55,7.0,4.5
2024-05-31 18:54:57,6.0,4.75
2024-05-31 19:09:58,6.25,4.5
2024-05-31 19:25:00,6.5,4.75
2024-05-31 19:40:01,6.75,5.0
2024-05-31 19:55:03,7.0,5.25
2024-05-31 20:10:04,7.25,5.5
2024-05-31 20:25:05,7.5,5.75
2024-05-31 20:40:07,6.75,5.75
2024-05-31 20:55:08,7.0,5.25
2024-05-31 21:10:09,7.25,5.5
2024-05-31 21:25:11,7.5,5.75
2024-05-31 21:40:12,4.5,6.0
2024-05-31 21:55:14,4.75,6.25
2024-05-31 22:10:16,5.0,6.5
2024-05-31 22:25:17,4.5,6.75
2024-05-31 22:40:18,4.25,6.0
2024-05-31 22:55:20,4.5,6.25
2024-05-31 23:10:21,4.75,6.5
2024-05-31 23:25:22,5.0,6.75
2024-05-31 23:40:24,4.75,7.0
2024-05-31 23:55:25,4.75,7.25
2024-06-01 00:10:27,5.0,6.5
2024-06-01 00:25:29,5.25,6.75
2024-06-01 00:40:31,5.5,7.0
2024-06-01 00:55:32,5.75,7.25
2024-06-01 01:10:33,5.5,7.5
2024-06-01 01:25:35,5.75,7.75
2024-06-01 01:40:36,5.5,8.0
2024-06-01 01:55:38,5.75,8.25
2024-06-01 02:10:39,6.0,8.5
2024-06-01 02:25:40,6.25,8.0
2024-06-01 02:40:43,6.0,8.25
2024-06-01 02:55:44,6.25,8.5
2024-06-01 03:10:45,6.5,8.75
2024-06-01 03:25:47,6.75,9.0
